kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
new daycare near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,8,3.5,880,0,1,66,42.59,0,2,1,7,4,3115,8.5,58,1,0,FALSE,2025-11-05
chroma paint company,,0,0,0,0,5.2,40,0,1,6,0,0,0,1,0,5,206,0,6,-1,0,FALSE,2025-10-01
daycare in duluth,https://chromaela.com/service-areas-pleasanthill-ga,2,0,60,1,8.5,320,0,9,1,64.56,0,60,9,510,76,2720,10.37,0,51,0,FALSE,2025-11-22
johns creek playground,https://chromaela.com/post/top-5-infant-friendly-parks-in-johns-creek-for-your-babys-first-outings,1,0,1,38,0,30,0,1,29,0,0,1,1,0,0,0,38,-9,0,0,FALSE,2025-11-08
pre k lottery near me,https://chromaela.com/services-pre-k-lottery,1,0,1,1,4.3,170,0,1,29,31.12,0,1,1,4,4,726,1,28,0,0,FALSE,2025-11-22
chroma student discount,https://chromaela.com/,1,0,2,24,0,0,0,0,0,0,0,2,0,0,0,0,23.5,-24,2,0,FALSE,2025-11-14
sensorimotor thinking,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,18,26,0,90,0,1,21,19.12,0,18,1,0,0,0,7.68,-5,17,0,FALSE,2025-11-22
apple academy preschool,,0,0,0,0,0,20,0,1,12,0,0,0,1,0,0,0,0,12,-1,0,FALSE,2025-10-08
toys for 2 year old girl,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-23
blowing nose routine,,0,0,0,0,0,10,0,1,10,0,0,0,1,0,0,0,0,10,-1,0,FALSE,2025-10-06
marietta georgia parks,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,64,0,880,0,0,0,0,0,1,0,0,0,0,64,-64,1,0,FALSE,2025-11-10
jump start learning,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,8,4.8,320,0,0,0,39.3,0,2,0,10,0,1552,8.5,-8,2,0,FALSE,2025-11-18
preschool east cobb,https://chromaela.com/service-areas-marietta-east-ga,1,0,1,78,0,0,0,0,0,0,0,1,0,0,0,0,78,-78,1,0,FALSE,2025-11-07
daycares in jonesboro,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,28,4.8,1000,0,0,0,40.03,0,1,0,5,0,4780,28,-28,1,0,FALSE,2025-11-13
premier learning center,https://chromaela.com/service-areas-southcobb-ga,1,0,1,1,4.8,480,0,0,0,36.57,0,1,0,5,0,2299,1,-1,1,0,FALSE,2025-10-30
early preschool near me,,0,0,0,0,6.4,590,0,1,4,0,0,0,1,0,6,3794,0,4,-1,0,FALSE,2025-10-04
mount pleasant daycares,,0,0,0,0,4.3,320,0,1,1,0,0,0,1,0,4,1366,0,1,-1,0,FALSE,2025-10-16
behavior words for kids,https://chromaela.com/post/the-words-you-use-and-the-behavior-you-give-your-child-matters,1,0,28,6,0,0,0,0,0,22.04,0,28,0,0,0,0,6.55,-6,28,0,FALSE,2025-11-23
daycare in johns creek,,0,0,0,0,8,210,0,2,9,0,0,0,2,0,16,1686,0,9,-2,0,FALSE,2025-10-21
schools in tyrone ga,,0,0,0,0,0,50,0,1,17,0,0,0,1,0,0,0,0,17,-1,0,FALSE,2025-10-14
closed daycares near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,7,3.4,70,0,0,0,25.88,0,1,0,3,0,239,7,-7,1,0,FALSE,2025-11-03
sensorimotor period,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,41,0,260,0,0,0,9.17,0,4,0,0,0,0,58.25,-41,4,0,FALSE,2025-11-23
jw learning academy,https://chromaela.com/service-areas-mcdonough-ga,1,0,4,1,0,90,0,9,1,10.65,0,4,9,0,0,0,1.33,0,-5,0,FALSE,2025-10-31
tech for kids academy,,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,11,-1,0,FALSE,2025-10-21
early on centers near me,,0,0,0,0,1.8,260,0,1,12,0,0,0,1,0,2,471,0,12,-1,0,FALSE,2025-10-19
charter school near me,,0,0,0,0,4.8,110000,0,1,28,0,0,0,1,0,5,531300,0,28,-1,0,FALSE,2025-10-09
infant care alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,57,4.8,20,0,0,0,26.19,0,2,0,10,0,97,57,-57,2,0,FALSE,2025-11-19
childcare marietta ga,,0,0,0,0,9.8,880,0,4,40,0,0,0,4,0,39,8659,0,40,-4,0,FALSE,2025-10-22
infant daycares near me,,0,0,0,0,5.3,27100,0,1,14,0,0,0,1,0,5,143901,0,14,-1,0,FALSE,2025-09-26
parker-chase west cobb,https://chromaela.com/,1,0,1,47,0,0,0,3,48,0,0,1,3,0,0,0,47,1,-2,0,FALSE,2025-10-28
premier driving school,https://chromaela.com/service-areas-southcobb-ga,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-11-01
creme de la creme duluth,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,59,4.2,140,0,0,0,34.7,0,2,0,8,0,587,64,-59,2,0,FALSE,2025-10-31
newborn daycare near me,,0,0,0,0,5.7,1900,0,1,10,0,0,0,1,0,6,10811,0,10,-1,0,FALSE,2025-10-07
semaj learning academy,https://chromaela.com/,1,0,1,27,0,140,0,0,0,0,0,1,0,0,0,0,27,-27,1,0,FALSE,2025-11-10
tech kids academy,https://chromaela.com/service-areas-tyrone-ga,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,FALSE,2025-11-10
pre k lawrenceville ga,https://chromaela.com/,3,0,8,20,0,0,0,4,41,13.75,0,8,4,0,0,0,27.38,21,4,0,FALSE,2025-11-22
daycares in mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,2,2,32,8,0,0,0,25,8,19.85,0,30,25,0,0,0,11.67,0,7,2,FALSE,2025-11-22
how do babies think,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-09-25
infant care in canton,https://chromaela.com/service-areas-cherokee-ga,1,0,2,8,0,10,0,0,0,4.58,0,2,0,0,0,0,8.5,-8,2,0,FALSE,2025-11-18
the sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,61,0,210,0,2,65,4.58,0,2,2,0,0,0,62,4,0,0,FALSE,2025-11-01
techlearning academy,https://chromaela.com/service-areas-tyrone-ga,1,0,2,12,0,0,0,9,12,4.58,0,2,9,0,0,0,12,0,-7,0,FALSE,2025-11-09
daycare pleasant hill,https://chromaela.com/service-areas-pleasanthill-ga,1,0,2,3,0,0,0,0,0,4.58,0,2,0,0,0,0,3,-3,2,0,FALSE,2025-11-05
trunk or treat near me,https://chromaela.com/service-areas-tyrone-ga,1,0,2,3,0,0,0,0,0,4.58,0,2,0,0,0,0,3,-3,2,0,FALSE,2025-10-30
la petite academy tyrone,https://chromaela.com/service-areas-tyrone-ga,1,0,1,42,6.5,50,0,1,35,27.32,0,1,1,6,6,324,42,-7,0,0,FALSE,2025-11-23
canton ga schools,,0,0,0,0,0,110,0,3,26,0,0,0,3,0,0,0,0,26,-3,0,FALSE,2025-10-26
sensorimotor stages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,10,73,2,18100,0,1,79,65.46,0,10,1,20,2,36200,74.64,6,9,0,FALSE,2025-11-19
romabio east cobb ga,https://chromaela.com/service-areas-marietta-west-ga,2,0,4,44,0,30,0,27,39,11.85,0,4,27,0,0,0,45.25,-5,-23,0,FALSE,2025-11-21
daycare open late,https://chromaela.com/tour-appointment,1,0,1,1,2.8,590,0,0,0,35.06,0,1,0,3,0,1670,1,-1,1,0,FALSE,2025-11-20
daycares in alpharetta,https://chromaela.com/service-areas-roswell-ga,2,0,2,60,10.5,720,0,0,0,46.78,0,2,0,21,0,7553,64,-60,2,0,FALSE,2025-11-12
child development center,https://chromaela.com/service-areas-jonesboro-ga,2,0,2,7,0,0,0,0,0,4.58,0,2,0,0,0,0,5.5,-7,2,0,FALSE,2025-11-21
pre k day care near me,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-15
wyndham farms childcare,https://chromaela.com/,11,0,68,1,0,0,0,65,6,27.91,0,68,65,0,0,0,6.47,5,3,0,FALSE,2025-11-20
pleasant hill school,,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,9,-1,0,FALSE,2025-09-30
alpharetta to mcdonough,,0,0,0,0,0,40,0,1,24,0,0,0,1,0,0,0,0,24,-1,0,FALSE,2025-10-17
sunbrook academy luella,,0,0,0,0,7.9,70,0,2,34,0,0,0,2,0,16,552,0,34,-2,0,FALSE,2025-10-21
apple day kindergarten,,0,0,0,0,0,30,0,2,12,0,0,0,2,0,0,0,0,12,-2,0,FALSE,2025-10-08
signs of a good daycare,https://chromaela.com/post/signs-of-a-good-daycare,1,0,17,8,0,30,0,1,12,18.74,0,17,1,0,0,0,12.23,4,16,0,FALSE,2025-11-23
prek classes near me,,0,0,0,0,6.8,210,0,1,21,0,0,0,1,0,7,1438,0,21,-1,0,FALSE,2025-10-11
part time daycare,,0,0,0,0,6.1,4400,0,4,6,0,0,0,4,0,24,26620,0,6,-4,0,FALSE,2025-10-14
daycare in mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,4,12,5.7,1000,0,1,7,50.04,0,4,1,23,6,5710,11.17,-5,3,0,FALSE,2025-11-11
daily cost of daycare,https://chromaela.com/service-areas-roswell-ga,1,0,1,1,2.4,110,0,0,0,26.29,0,1,0,2,0,261,1,-1,1,0,FALSE,2025-11-19
omas learning center,https://chromaela.com/,1,0,1,77,0,90,0,0,0,0,0,1,0,0,0,0,77,-77,1,0,FALSE,2025-11-01
crabapple academy,https://chromaela.com/,1,0,1,91,6.9,590,0,0,0,39.26,0,1,0,7,0,4065,91,-91,1,0,FALSE,2025-11-11
apple a day preschool,https://chromaela.com/service-areas-pleasanthill-ga,2,0,13,37,3.3,170,0,6,14,48.28,0,13,6,43,20,564,15.22,-23,7,0,FALSE,2025-11-14
daycare centers near me,https://chromaela.com/service-areas-mcdonough-ga,2,0,4,9,3.5,40500,1,6,28,65.19,0,4,5,14,17,140940,12.33,19,-2,-1,FALSE,2025-11-06
day care near me now,https://chromaela.com/service-areas-lilburn-ga,1,0,1,8,6.2,1900,0,0,0,44.29,0,1,0,6,0,11780,8,-8,1,0,FALSE,2025-11-06
where rivers learning,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,13,0,0,0,1,13,0,0,1,1,0,0,0,13,0,0,0,FALSE,2025-10-29
kids campus school,,0,0,0,0,0,0,0,1,14,0,0,0,1,0,0,0,0,14,-1,0,FALSE,2025-09-27
spring valley ela,,0,0,0,0,0,140,0,5,10,0,0,0,5,0,0,0,0,10,-5,0,FALSE,2025-09-25
green river school,https://chromaela.com/service-areas-rivergreen-ga,1,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,2.5,-1,2,0,FALSE,2025-11-12
after school program,,0,0,0,0,4.9,90500,0,3,2,0,0,0,3,0,15,447975,0,2,-3,0,FALSE,2025-10-10
parks in east cobb,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,8,12,0,0,0,0,0,13.75,0,8,0,0,0,0,9.33,-12,8,0,FALSE,2025-11-23
clay color academy,https://chromaela.com/,1,0,5,78,0,20,0,0,0,10.65,0,5,0,0,0,0,78,-78,5,0,FALSE,2025-11-22
child care in alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,89,0,0,0,0,0,0,0,1,0,0,0,0,89,-89,1,0,FALSE,2025-11-19
daycares in roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,2,15,0,0,0,2,16,4.58,0,2,2,0,0,0,30.5,1,0,0,FALSE,2025-10-30
jonesboro childcare,https://chromaela.com/service-areas-jonesboro-ga,1,0,15,7,4.8,1000,0,2,55,57.94,0,15,2,72,10,4780,6.44,48,13,0,FALSE,2025-11-13
roswell day cares,https://chromaela.com/service-areas-roswell-ga,1,0,1,19,0,10,0,0,0,0,0,1,0,0,0,0,19,-19,1,0,FALSE,2025-11-09
top preschools near me,,0,0,0,0,5.3,1000,0,1,16,0,0,0,1,0,5,5300,0,16,-1,0,FALSE,2025-09-27
kids learning near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-04
apple kindergarten,,0,0,0,0,3.3,390,0,1,1,0,0,0,1,0,3,1275,0,1,-1,0,FALSE,2025-09-25
little elly near me,https://chromaela.com/service-areas-satellite-ga,1,0,1,1,0.6,2400,0,0,0,34.28,0,1,0,1,0,1416,1,-1,1,0,FALSE,2025-10-31
daycare lawrenceville,https://www.chromaela.com/service-areas-lawrenceville-ga,2,0,4,1,0,0,0,1,60,9.17,0,4,1,0,0,0,17.67,59,3,0,FALSE,2025-11-11
johns creek preschool,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,17,7.1,70,0,0,0,29.31,0,1,0,7,0,494,17,-17,1,0,FALSE,2025-11-21
senorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,47,0,0,0,0,0,0,0,1,0,0,0,0,47,-47,1,0,FALSE,2025-11-16
sensorimotor phase,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,62,0,90,0,0,0,0,0,1,0,0,0,0,62,-62,1,0,FALSE,2025-11-23
piagets first stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,7,10,0,0,0,0,0,0,0,7,0,0,0,0,9.56,-10,7,0,FALSE,2025-11-23
alpharetta childcare,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,4,87,6.6,20,0,0,0,32.24,0,4,0,26,0,132,40.5,-87,4,0,FALSE,2025-11-19
early childcare near me,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,3,4.5,1300,0,0,0,40.99,0,1,0,5,0,5863,3,-3,1,0,FALSE,2025-11-04
daycare in roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,6,54,0,0,0,2,22,11.85,0,6,2,0,0,0,26.1,-32,4,0,FALSE,2025-11-22
boys academy school,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-09-30
harrison park marietta,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,19,0,0,0,0,0,0,0,1,0,0,0,0,19,-19,1,0,FALSE,2025-11-14
wyndham farms child care,https://chromaela.com/service-areas-midway-alpharetta-ga,2,0,8,1,0,0,0,3,5,13.75,0,8,3,0,0,0,3,4,5,0,FALSE,2025-11-20
child care marietta ga,https://chromaela.com/,1,0,1,38,0,0,0,1,6,0,0,1,1,0,0,0,38,-32,0,0,FALSE,2025-11-19
academy canton ga,,0,0,0,0,0,20,0,1,12,0,0,0,1,0,0,0,0,12,-1,0,FALSE,2025-10-02
free prek near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-19
herring township daycare,https://chromaela.com/service-areas-midway-alpharetta-ga,10,0,44,3,0,0,0,3,10,25.03,0,44,3,0,0,0,10.27,7,41,0,FALSE,2025-11-20
3000 old alabama road,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,88,0,0,0,0,0,0,0,1,0,0,0,0,88,-88,1,0,FALSE,2025-11-22
toddler boys toys age 2,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,4,-4,2,0,FALSE,2025-11-20
wyndham farms day care,https://chromaela.com/,10,0,22,2,0,0,0,0,0,20.45,0,22,0,0,0,0,9.02,-2,22,0,FALSE,2025-11-19
new day care near me,,0,0,0,0,3.5,880,0,1,4,0,0,0,1,0,4,3115,0,4,-1,0,FALSE,2025-10-14
daycare in hampton ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,20,4.5,170,0,0,0,35.95,0,2,0,9,0,763,20,-20,2,0,FALSE,2025-10-27
daycare in georgia,https://chromaela.com/,1,0,1,27,0,0,0,0,0,0,0,1,0,0,0,0,27,-27,1,0,FALSE,2025-11-12
prekinder cerca de mi,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,10,2.9,5400,0,3,1,45.64,0,1,3,3,9,15660,10,-9,-2,0,FALSE,2025-10-30
premier academy daycare,https://chromaela.com/service-areas-southcobb-ga,1,0,2,4,5,140,0,0,0,35.5,0,2,0,10,0,694,4,-4,2,0,FALSE,2025-11-11
childcare in east cobb,,0,0,0,0,0,0,0,3,39,0,0,0,3,0,0,0,0,39,-3,0,FALSE,2025-10-15
kinder daycare near me,https://chromaela.com/service-areas-satellite-ga,1,0,3,6,0,0,0,1,5,7.27,0,3,1,0,0,0,7.33,-1,2,0,FALSE,2025-11-02
marietta ga daycare,http://www.chromaela.com/,1,0,1,24,0,0,0,1,38,0,0,1,1,0,0,0,24,14,0,0,FALSE,2025-11-10
daycare stockbridge ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,23,5.8,720,0,0,0,39.35,0,1,0,6,0,4140,23,-23,1,0,FALSE,2025-11-21
pleasant hill daycare,,0,0,0,0,3.8,210,0,1,9,0,0,0,1,0,4,808,0,9,-1,0,FALSE,2025-10-19
roswell ga daycare,https://chromaela.com/service-areas-roswell-ga,1,0,1,16,9.2,480,0,2,44,46.92,0,1,2,9,18,4416,16,28,-1,0,FALSE,2025-11-02
piagets sensorimotor,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,44,0,10,0,0,0,0,0,1,0,0,0,0,44,-44,1,0,FALSE,2025-11-23
daycare within 5 mi,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,10,5.6,140,0,0,0,31.47,0,1,0,6,0,781,10,-10,1,0,FALSE,2025-11-04
day care pleasant hill,,0,0,0,0,10.6,90,0,1,1,0,0,0,1,0,11,951,0,1,-1,0,FALSE,2025-09-30
ready set jump daycare,,0,0,0,0,0,20,0,1,60,0,0,0,1,0,0,0,0,60,-1,0,FALSE,2025-10-20
cobb county head start,,0,0,0,0,4.3,70,0,1,93,0,0,0,1,0,4,303,0,93,-1,0,FALSE,2025-10-18
daycare locust grove ga,https://chromaela.com/service-areas-mcdonough-ga,2,1,5,9,0,0,0,6,8,10.65,0,4,6,0,0,0,23.2,-1,-1,1,FALSE,2025-11-15
daycares in morrow ga,,0,0,0,0,5.5,40,0,2,45,0,0,0,2,0,11,222,0,45,-2,0,FALSE,2025-10-16
daycares jonesboro ga,https://chromaela.com/service-areas-jonesboro-ga,2,1,26,8,0,0,0,1,14,21.55,0,25,1,0,0,0,10.85,6,25,1,FALSE,2025-11-23
lottery funded pre k,https://chromaela.com/services-pre-k-lottery,1,0,2,82,5.4,50,0,0,0,31.07,0,2,0,11,0,272,82,-82,2,0,FALSE,2025-11-20
spanish classes near me,,0,0,0,0,6.1,40500,0,1,10,0,0,0,1,0,6,248670,0,10,-1,0,FALSE,2025-10-15
daycare thomaston ga,,0,0,0,0,0,70,0,1,61,0,0,0,1,0,0,0,0,61,-1,0,FALSE,2025-10-12
2 year old daycare,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-01
childcare in mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-10-28
daycare in mableton ga,https://chromaela.com/service-areas-southcobb-ga,1,0,2,18,0,0,0,2,67,4.58,0,2,2,0,0,0,24.5,49,0,0,FALSE,2025-11-21
premier education,,0,0,0,0,0.5,12100,0,1,5,0,0,0,1,0,0,6050,0,5,-1,0,FALSE,2025-09-28
schools in canton ga,,0,0,0,0,0,110,0,1,18,0,0,0,1,0,0,0,0,18,-1,0,FALSE,2025-10-09
preschool near me age 3,,0,0,0,0,4.8,1600,0,1,5,0,0,0,1,0,5,7712,0,5,-1,0,FALSE,2025-09-30
apple a day academy,https://chromaela.com/service-areas-pleasanthill-ga,2,0,15,2,0,40,0,0,0,17.91,0,15,0,0,0,0,8.73,-2,15,0,FALSE,2025-11-23
harmony grove park,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,1,3,0,260,0,1,9,4.58,0,1,1,0,0,0,3,6,0,0,FALSE,2025-11-22
montessori near me,https://chromaela.com/service-areas-lilburn-ga,2,0,2,8,4.4,22200,1,3,13,58.88,0,2,2,9,9,97902,13.5,5,-1,-1,FALSE,2025-10-31
5 star daycare near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,28,-28,1,0,FALSE,2025-11-11
child development,,0,0,0,0,7.2,49500,0,1,3,0,0,0,1,0,7,355905,0,3,-1,0,FALSE,2025-10-21
parks in ellenwood ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-ellenwood-for-your-babys-first-outings,1,0,3,20,0,70,0,4,36,7.27,0,3,4,0,0,0,16.5,16,-1,0,FALSE,2025-11-22
day care school near me,,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-10
daycares in hiram ga,https://chromaela.com/,1,0,1,84,5.1,110,0,2,68,29.9,0,1,2,5,10,560,84,-16,-1,0,FALSE,2025-11-01
tyrone trunk or treat,https://chromaela.com/service-areas-tyrone-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-10-30
pre k marietta ga,http://www.chromaela.com/,2,0,2,9,9.5,70,0,2,42,35.31,0,2,2,19,19,666,6.5,33,0,0,FALSE,2025-11-03
extended hours daycare,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,44,2.6,390,0,0,0,32.63,0,1,0,3,0,998,44,-44,1,0,FALSE,2025-11-13
premier early learning,https://chromaela.com/service-areas-southcobb-ga,1,0,1,3,0,20,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-04
green apple daycare,,0,0,0,0,7.1,720,0,1,1,40.37,0,0,1,0,7,5141,0,1,-1,0,FALSE,2025-10-26
after school programs,http://www.chromaela.com/,1,0,1,1,4.9,90500,0,2,1,61.48,0,1,2,5,10,447975,1,0,-1,0,FALSE,2025-10-30
daycare with cameras,https://chromaela.com/,14,0,18,24,3.7,3600,0,3,4,64.04,0,18,3,67,11,13464,11.78,-20,15,0,FALSE,2025-11-18
daycares in duluth ga,https://chromaela.com/service-areas-pleasanthill-ga,2,0,11,2,0,0,0,14,2,15.86,0,11,14,0,0,0,10.57,0,-3,0,FALSE,2025-11-17
child care canton,https://chromaela.com/service-areas-cherokee-ga,2,0,7,1,0,0,0,3,1,12.87,0,7,3,0,0,0,4.25,0,4,0,FALSE,2025-11-18
daycares in fairburn ga,https://chromaela.com/service-areas-tyrone-ga,1,0,2,18,5.6,50,0,1,36,31.21,0,2,1,11,6,280,16.5,18,1,0,FALSE,2025-11-10
preschools in my area,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,10,-10,1,0,FALSE,2025-11-07
child development centre,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-09-25
daycare school near me,,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,4,-2,0,FALSE,2025-10-04
head start marietta ga,https://chromaela.com/,1,0,2,88,7.1,320,0,1,83,41.07,0,2,1,14,7,2259,87.5,-5,1,0,FALSE,2025-11-15
daycare teacher day,,0,0,0,0,0,30,0,1,13,0,0,0,1,0,0,0,0,13,-1,0,FALSE,2025-10-14
mcdonough ga daycare,,0,0,0,0,5.7,1000,0,1,6,0,0,0,1,0,6,5710,0,6,-1,0,FALSE,2025-10-05
pre-school or preschool,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-01
daycares in ellenwood ga,https://chromaela.com/service-areas-ellenwood-ga,2,0,82,11,4.1,110,0,115,11,58.66,0,82,115,338,474,453,8.88,0,-33,0,FALSE,2025-11-23
childcare roswell,https://chromaela.com/service-areas-roswell-ga,2,0,25,6,10.2,170,0,28,13,56.54,0,25,28,256,286,1739,11.03,7,-3,0,FALSE,2025-11-22
teach parts of the body,https://chromaela.com/post/learning-the-different-body-parts-fun-ways-to-teach-young-children,1,0,6,78,1.9,140,0,0,0,38.26,0,6,0,11,0,267,73.67,-78,6,0,FALSE,2025-11-19
head start mcdonough ga,,0,0,0,0,6.2,30,0,2,11,0,0,0,2,0,12,185,0,11,-2,0,FALSE,2025-10-21
preschool with cameras,https://chromaela.com/,1,0,1,8,5.5,170,0,0,0,32.29,0,1,0,5,0,928,8,-8,1,0,FALSE,2025-11-13
parker chase west cobb,https://chromaela.com/service-areas-marietta-west-ga,2,0,2,53,7.7,390,0,0,0,42.44,0,2,0,15,0,3019,45.5,-53,2,0,FALSE,2025-11-19
pre k school near me,https://chromaela.com/service-areas-midway-alpharetta-ga,2,0,3,5,0,0,0,1,5,7.27,0,3,1,0,0,0,8.33,0,2,0,FALSE,2025-11-14
east cobb childcare,https://chromaela.com/,1,0,1,28,0,0,0,2,43,0,0,1,2,0,0,0,28,15,-1,0,FALSE,2025-11-03
childtime of lilburn,https://chromaela.com/service-areas-lilburn-ga,3,0,4,37,0,260,0,1,35,9.17,0,4,1,0,0,0,48.75,-2,3,0,FALSE,2025-11-13
what is sensorimotor,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,64,0,390,0,0,0,0,0,1,0,0,0,0,64,-64,1,0,FALSE,2025-11-13
parks for 1 year olds,https://chromaela.com/post/top-5-infant-friendly-parks-in-lilburn-for-your-babys-first-outings,1,0,3,78,0,480,0,0,0,7.27,0,3,0,0,0,0,77.67,-78,3,0,FALSE,2025-11-08
cherokee preschool,,0,0,0,0,0,40,0,3,1,0,0,0,3,0,0,0,0,1,-3,0,FALSE,2025-10-09
superkids rome ga,https://chromaela.com/,1,0,1,56,0,50,0,2,43,0,0,1,2,0,0,0,56,-13,-1,0,FALSE,2025-11-22
kids learning center,,0,0,0,0,0,0,1,2,5,0,0,0,1,0,0,0,0,5,-2,-1,FALSE,2025-10-22
prek school near me,https://chromaela.com/service-areas-pleasanthill-ga,2,0,3,1,0,0,0,1,5,7.27,0,3,1,0,0,0,13.67,4,2,0,FALSE,2025-11-18
daycare in austell ga,https://chromaela.com/service-areas-southcobb-ga,1,0,3,9,6.1,50,0,4,32,34.31,0,3,4,18,24,306,11.33,23,-1,0,FALSE,2025-11-18
discovery point roswell,https://chromaela.com/,9,0,98,9,0,210,0,0,0,30.33,0,98,0,0,0,0,12.09,-9,98,0,FALSE,2025-11-05
child nursery near me,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-09-28
rfm learning academy,https://chromaela.com/about-us,2,0,2,69,0,70,0,1,72,4.58,0,2,1,0,0,0,77.5,3,1,0,FALSE,2025-11-21
